statement,label
"981 is in the set [165, 355, 489, 547, 949]",0
"198 is in the set [1, 169, 198, 414, 633]",1
"365 is in the set [129, 535, 571, 615, 766]",0
"882 is in the set [659, 838, 882, 889, 909]",1
"472 is in the set [178, 205, 638, 870, 963]",0
"204 is in the set [204, 334, 603, 812, 861]",1
"161 is in the set [295, 533, 643, 747, 835]",0
"352 is in the set [1, 352, 856, 940, 964]",1
"733 is in the set [73, 635, 646, 664, 775]",0
"269 is in the set [242, 269, 287, 384, 989]",1
"317 is in the set [172, 265, 374, 553, 926]",0
"128 is in the set [128, 233, 320, 409, 653]",1
"123 is in the set [38, 246, 643, 958, 972]",0
"103 is in the set [103, 116, 150, 597, 680]",1
"543 is in the set [265, 576, 714, 808, 857]",0
"989 is in the set [8, 109, 447, 487, 989]",1
"706 is in the set [34, 89, 183, 283, 926]",0
"193 is in the set [193, 317, 343, 465, 608]",1
"383 is in the set [162, 405, 579, 864, 966]",0
"848 is in the set [498, 526, 544, 576, 848]",1
"987 is in the set [173, 399, 441, 786, 873]",0
"192 is in the set [192, 236, 494, 503, 964]",1
"521 is in the set [184, 290, 355, 471, 655]",0
"102 is in the set [87, 102, 186, 383, 980]",1
"724 is in the set [193, 737, 808, 836, 857]",0
"932 is in the set [219, 283, 578, 781, 932]",1
"634 is in the set [23, 545, 833, 863, 936]",0
"284 is in the set [89, 284, 538, 739, 808]",1
"517 is in the set [242, 343, 623, 902, 911]",0
"879 is in the set [144, 339, 452, 812, 879]",1
"260 is in the set [40, 186, 472, 633, 866]",0
"50 is in the set [22, 50, 376, 870, 999]",1
"663 is in the set [54, 681, 748, 822, 895]",0
"259 is in the set [259, 328, 527, 753, 941]",1
"933 is in the set [46, 124, 394, 509, 679]",0
"538 is in the set [66, 456, 523, 538, 544]",1
"5 is in the set [26, 50, 189, 345, 695]",0
"35 is in the set [35, 102, 366, 465, 900]",1
"373 is in the set [123, 125, 536, 573, 852]",0
"597 is in the set [81, 124, 576, 597, 750]",1
"705 is in the set [6, 301, 392, 669, 879]",0
"237 is in the set [72, 237, 353, 617, 824]",1
"432 is in the set [10, 261, 425, 433, 825]",0
"928 is in the set [22, 738, 777, 920, 928]",1
"192 is in the set [248, 610, 758, 763, 991]",0
"226 is in the set [226, 383, 476, 906, 909]",1
"512 is in the set [167, 228, 679, 796, 879]",0
"611 is in the set [510, 611, 789, 830, 951]",1
"204 is in the set [214, 258, 541, 609, 909]",0
"628 is in the set [63, 197, 229, 391, 628]",1
"180 is in the set [242, 525, 601, 849, 969]",0
"550 is in the set [231, 235, 420, 550, 883]",1
"909 is in the set [19, 339, 536, 843, 877]",0
"928 is in the set [151, 167, 440, 598, 928]",1
"555 is in the set [259, 484, 588, 630, 959]",0
"947 is in the set [49, 111, 479, 711, 947]",1
"823 is in the set [407, 470, 739, 759, 843]",0
"744 is in the set [312, 565, 728, 744, 970]",1
"86 is in the set [273, 339, 452, 607, 669]",0
"388 is in the set [134, 160, 253, 388, 568]",1
"22 is in the set [88, 222, 786, 805, 860]",0
"996 is in the set [230, 504, 528, 943, 996]",1
"904 is in the set [63, 129, 548, 861, 942]",0
"301 is in the set [245, 301, 564, 578, 802]",1
"759 is in the set [49, 362, 445, 451, 997]",0
"402 is in the set [225, 314, 402, 762, 840]",1
"380 is in the set [106, 130, 213, 475, 665]",0
"697 is in the set [74, 522, 529, 697, 912]",1
"151 is in the set [74, 76, 96, 716, 782]",0
"956 is in the set [266, 432, 476, 732, 956]",1
"610 is in the set [13, 489, 604, 697, 819]",0
"426 is in the set [5, 72, 426, 694, 929]",1
"880 is in the set [27, 127, 134, 521, 800]",0
"614 is in the set [59, 127, 253, 614, 962]",1
"779 is in the set [112, 387, 436, 665, 854]",0
"592 is in the set [310, 582, 592, 869, 878]",1
"883 is in the set [153, 318, 407, 501, 600]",0
"700 is in the set [81, 198, 700, 841, 849]",1
"278 is in the set [302, 637, 718, 793, 924]",0
"288 is in the set [288, 471, 684, 685, 847]",1
"926 is in the set [148, 749, 801, 840, 861]",0
"5 is in the set [5, 93, 349, 828, 881]",1
"106 is in the set [324, 448, 762, 820, 830]",0
"721 is in the set [25, 294, 602, 642, 721]",1
"684 is in the set [5, 440, 615, 772, 906]",0
"130 is in the set [104, 130, 221, 354, 758]",1
"636 is in the set [28, 349, 773, 852, 975]",0
"279 is in the set [55, 279, 702, 718, 820]",1
"676 is in the set [250, 257, 292, 410, 507]",0
"158 is in the set [13, 158, 575, 878, 891]",1
"284 is in the set [115, 256, 310, 702, 930]",0
"286 is in the set [206, 286, 382, 427, 574]",1
"318 is in the set [165, 335, 458, 511, 668]",0
"809 is in the set [202, 505, 592, 605, 809]",1
"424 is in the set [425, 452, 486, 562, 895]",0
"170 is in the set [170, 319, 389, 694, 727]",1
"81 is in the set [344, 541, 645, 650, 852]",0
"578 is in the set [238, 311, 578, 832, 945]",1
"612 is in the set [84, 133, 240, 508, 651]",0
"770 is in the set [304, 368, 422, 605, 770]",1
"172 is in the set [128, 132, 701, 959, 982]",0
"239 is in the set [239, 810, 859, 871, 903]",1
"172 is in the set [275, 413, 518, 698, 762]",0
"601 is in the set [434, 601, 747, 794, 813]",1
"832 is in the set [236, 240, 279, 470, 626]",0
"666 is in the set [6, 524, 666, 696, 967]",1
"992 is in the set [53, 219, 292, 824, 948]",0
"327 is in the set [187, 317, 327, 331, 832]",1
"961 is in the set [138, 221, 325, 410, 430]",0
"495 is in the set [293, 368, 382, 495, 944]",1
"891 is in the set [327, 328, 530, 536, 760]",0
"894 is in the set [27, 298, 894, 984, 993]",1
"1000 is in the set [73, 450, 524, 879, 936]",0
"69 is in the set [69, 307, 525, 581, 798]",1
"140 is in the set [386, 610, 663, 948, 969]",0
"384 is in the set [384, 432, 615, 663, 839]",1
"426 is in the set [25, 27, 51, 423, 552]",0
"586 is in the set [275, 334, 472, 586, 780]",1
"393 is in the set [38, 182, 276, 390, 553]",0
"32 is in the set [32, 65, 219, 220, 386]",1
"114 is in the set [563, 632, 646, 735, 766]",0
"371 is in the set [354, 371, 907, 937, 961]",1
"33 is in the set [371, 397, 462, 820, 950]",0
"671 is in the set [96, 503, 666, 671, 878]",1
"993 is in the set [630, 670, 796, 854, 897]",0
"501 is in the set [168, 404, 501, 576, 654]",1
"143 is in the set [54, 148, 284, 566, 882]",0
"114 is in the set [114, 245, 511, 539, 706]",1
"302 is in the set [360, 678, 731, 798, 861]",0
"361 is in the set [44, 94, 361, 401, 861]",1
"498 is in the set [371, 402, 755, 792, 836]",0
"286 is in the set [249, 271, 286, 557, 845]",1
"877 is in the set [524, 646, 787, 879, 881]",0
"490 is in the set [118, 326, 348, 490, 764]",1
"746 is in the set [179, 248, 477, 522, 700]",0
"837 is in the set [117, 169, 541, 605, 837]",1
"971 is in the set [657, 665, 710, 801, 883]",0
"570 is in the set [129, 293, 396, 570, 747]",1
"165 is in the set [83, 336, 449, 487, 839]",0
"783 is in the set [98, 435, 480, 783, 862]",1
"241 is in the set [159, 311, 664, 745, 802]",0
"934 is in the set [587, 664, 832, 884, 934]",1
"301 is in the set [164, 303, 486, 728, 845]",0
"755 is in the set [404, 518, 719, 755, 799]",1
"959 is in the set [48, 103, 222, 608, 725]",0
"551 is in the set [213, 290, 551, 731, 949]",1
"524 is in the set [126, 341, 634, 796, 912]",0
"767 is in the set [128, 522, 641, 767, 959]",1
"585 is in the set [354, 407, 509, 625, 649]",0
"934 is in the set [51, 86, 616, 862, 934]",1
"19 is in the set [192, 324, 667, 670, 948]",0
"804 is in the set [394, 468, 516, 804, 989]",1
"327 is in the set [122, 192, 619, 921, 983]",0
"790 is in the set [78, 428, 450, 790, 882]",1
"817 is in the set [146, 519, 613, 648, 741]",0
"149 is in the set [8, 149, 187, 514, 701]",1
"996 is in the set [188, 318, 382, 546, 566]",0
"226 is in the set [22, 155, 159, 226, 861]",1
"461 is in the set [124, 696, 865, 916, 972]",0
"827 is in the set [97, 434, 827, 923, 946]",1
"170 is in the set [197, 375, 496, 535, 646]",0
"814 is in the set [244, 310, 333, 747, 814]",1
"407 is in the set [135, 323, 821, 873, 946]",0
"474 is in the set [32, 346, 470, 474, 753]",1
"146 is in the set [93, 242, 319, 761, 826]",0
"915 is in the set [392, 602, 713, 796, 915]",1
"318 is in the set [10, 189, 855, 885, 898]",0
"928 is in the set [434, 582, 765, 813, 928]",1
"128 is in the set [63, 106, 471, 482, 619]",0
"258 is in the set [258, 364, 440, 491, 565]",1
"758 is in the set [19, 365, 534, 610, 823]",0
"498 is in the set [288, 342, 498, 689, 753]",1
"67 is in the set [137, 151, 603, 777, 880]",0
"524 is in the set [12, 78, 254, 520, 524]",1
"888 is in the set [131, 310, 436, 602, 804]",0
"127 is in the set [13, 27, 95, 127, 308]",1
"280 is in the set [484, 520, 542, 621, 694]",0
"917 is in the set [10, 352, 492, 825, 917]",1
"114 is in the set [92, 138, 352, 553, 987]",0
"364 is in the set [364, 470, 635, 794, 976]",1
"547 is in the set [193, 408, 483, 491, 772]",0
"486 is in the set [268, 486, 718, 746, 909]",1
"568 is in the set [83, 254, 294, 688, 689]",0
"732 is in the set [554, 595, 662, 732, 823]",1
"281 is in the set [199, 259, 305, 346, 529]",0
"621 is in the set [491, 621, 911, 963, 970]",1
"739 is in the set [119, 253, 428, 874, 961]",0
"105 is in the set [105, 181, 281, 509, 772]",1
"30 is in the set [116, 196, 269, 752, 871]",0
"836 is in the set [207, 314, 400, 567, 836]",1
"565 is in the set [61, 224, 293, 622, 873]",0
"294 is in the set [128, 215, 294, 622, 937]",1
"539 is in the set [6, 115, 324, 802, 983]",0
"279 is in the set [49, 279, 590, 628, 672]",1
"477 is in the set [81, 489, 574, 781, 884]",0
"678 is in the set [5, 241, 678, 810, 919]",1
"733 is in the set [69, 139, 322, 406, 988]",0
"989 is in the set [377, 749, 831, 985, 989]",1
"718 is in the set [240, 286, 478, 541, 775]",0
"583 is in the set [288, 327, 447, 511, 583]",1
"516 is in the set [203, 253, 283, 808, 958]",0
"201 is in the set [201, 260, 394, 686, 899]",1
"170 is in the set [274, 645, 702, 923, 937]",0
"66 is in the set [66, 94, 203, 229, 352]",1
"857 is in the set [55, 217, 321, 595, 886]",0
"750 is in the set [304, 583, 611, 750, 842]",1
"703 is in the set [483, 569, 584, 726, 935]",0
"210 is in the set [210, 328, 614, 693, 835]",1
"118 is in the set [10, 415, 512, 697, 735]",0
"363 is in the set [218, 363, 396, 563, 619]",1
"875 is in the set [72, 155, 248, 401, 609]",0
"644 is in the set [127, 582, 644, 799, 851]",1
"856 is in the set [118, 228, 430, 740, 766]",0
"307 is in the set [85, 199, 209, 246, 307]",1
"205 is in the set [165, 430, 812, 909, 966]",0
"244 is in the set [76, 80, 244, 570, 614]",1
"61 is in the set [318, 339, 364, 531, 727]",0
"148 is in the set [86, 148, 272, 288, 331]",1
"660 is in the set [54, 218, 715, 875, 934]",0
"877 is in the set [300, 508, 715, 775, 877]",1
"977 is in the set [2, 198, 367, 529, 747]",0
"266 is in the set [261, 266, 518, 650, 933]",1
"706 is in the set [195, 408, 410, 656, 910]",0
"733 is in the set [320, 335, 641, 700, 733]",1
"548 is in the set [456, 565, 651, 684, 938]",0
"307 is in the set [29, 307, 819, 932, 991]",1
"610 is in the set [112, 135, 247, 463, 470]",0
"299 is in the set [72, 152, 299, 899, 966]",1
"64 is in the set [110, 358, 561, 628, 853]",0
"707 is in the set [22, 559, 598, 707, 761]",1
"59 is in the set [189, 240, 283, 476, 594]",0
"593 is in the set [229, 335, 465, 593, 752]",1
"165 is in the set [434, 436, 778, 916, 949]",0
"500 is in the set [300, 500, 511, 578, 948]",1
"619 is in the set [266, 379, 464, 667, 847]",0
"122 is in the set [122, 195, 546, 665, 913]",1
"722 is in the set [221, 330, 420, 476, 771]",0
"245 is in the set [13, 50, 245, 315, 371]",1
"152 is in the set [165, 234, 295, 477, 932]",0
"266 is in the set [266, 639, 683, 734, 777]",1
"937 is in the set [244, 580, 648, 938, 978]",0
"793 is in the set [555, 564, 575, 584, 793]",1
"448 is in the set [705, 759, 764, 822, 988]",0
"309 is in the set [116, 309, 395, 942, 948]",1
"601 is in the set [218, 326, 673, 697, 752]",0
"68 is in the set [68, 317, 657, 853, 888]",1
"653 is in the set [36, 103, 397, 730, 855]",0
"277 is in the set [148, 185, 277, 378, 805]",1
"739 is in the set [163, 380, 604, 865, 902]",0
"423 is in the set [390, 423, 601, 782, 872]",1
"197 is in the set [258, 288, 876, 949, 971]",0
"479 is in the set [8, 316, 479, 792, 909]",1
"922 is in the set [255, 509, 531, 620, 780]",0
"873 is in the set [237, 459, 873, 920, 978]",1
"424 is in the set [368, 505, 710, 733, 887]",0
"733 is in the set [42, 519, 610, 680, 733]",1
"587 is in the set [152, 316, 529, 633, 965]",0
"530 is in the set [46, 187, 293, 343, 530]",1
"729 is in the set [172, 378, 398, 521, 622]",0
"221 is in the set [221, 336, 630, 732, 768]",1
"517 is in the set [347, 711, 715, 726, 989]",0
"425 is in the set [390, 399, 425, 440, 665]",1
"472 is in the set [183, 470, 962, 990, 992]",0
"995 is in the set [141, 167, 216, 387, 995]",1
"327 is in the set [204, 282, 378, 568, 669]",0
"517 is in the set [69, 227, 381, 517, 576]",1
"179 is in the set [5, 76, 197, 333, 754]",0
"932 is in the set [824, 840, 932, 936, 978]",1
"707 is in the set [210, 315, 332, 456, 869]",0
"491 is in the set [315, 465, 491, 904, 992]",1
"179 is in the set [357, 590, 759, 777, 855]",0
"567 is in the set [488, 567, 668, 781, 891]",1
"807 is in the set [105, 486, 630, 669, 892]",0
"39 is in the set [39, 77, 729, 764, 928]",1
"314 is in the set [45, 116, 138, 447, 545]",0
"938 is in the set [25, 112, 216, 843, 938]",1
"903 is in the set [28, 381, 682, 759, 938]",0
"312 is in the set [130, 278, 312, 799, 823]",1
"443 is in the set [472, 532, 758, 763, 803]",0
"918 is in the set [251, 446, 848, 907, 918]",1
"870 is in the set [187, 194, 503, 540, 961]",0
"907 is in the set [135, 370, 375, 427, 907]",1
"720 is in the set [93, 484, 583, 786, 976]",0
"570 is in the set [460, 570, 646, 686, 721]",1
"122 is in the set [140, 205, 280, 382, 712]",0
"112 is in the set [112, 340, 348, 813, 961]",1
"746 is in the set [163, 384, 674, 760, 945]",0
"104 is in the set [35, 104, 248, 261, 345]",1
"540 is in the set [43, 121, 147, 187, 240]",0
"450 is in the set [85, 124, 142, 200, 450]",1
"185 is in the set [15, 176, 388, 622, 956]",0
"227 is in the set [227, 289, 590, 696, 928]",1
"489 is in the set [251, 458, 564, 644, 926]",0
"553 is in the set [52, 282, 380, 553, 747]",1
"193 is in the set [303, 322, 556, 661, 793]",0
"843 is in the set [22, 183, 345, 843, 992]",1
"357 is in the set [567, 568, 767, 911, 977]",0
"353 is in the set [193, 353, 533, 659, 747]",1
"328 is in the set [154, 398, 747, 850, 992]",0
"497 is in the set [158, 213, 497, 758, 909]",1
"373 is in the set [21, 292, 367, 612, 863]",0
"372 is in the set [279, 345, 372, 755, 999]",1
"925 is in the set [183, 233, 302, 430, 498]",0
"840 is in the set [268, 391, 456, 485, 840]",1
"599 is in the set [161, 263, 399, 768, 946]",0
"490 is in the set [490, 659, 690, 717, 878]",1
"792 is in the set [228, 363, 612, 929, 972]",0
"452 is in the set [297, 452, 459, 683, 899]",1
"30 is in the set [387, 643, 707, 813, 947]",0
"516 is in the set [420, 516, 737, 771, 886]",1
"95 is in the set [378, 507, 641, 695, 721]",0
"161 is in the set [110, 161, 469, 728, 886]",1
"441 is in the set [205, 337, 627, 675, 929]",0
"892 is in the set [210, 546, 755, 892, 969]",1
"819 is in the set [88, 222, 682, 746, 804]",0
"801 is in the set [450, 713, 730, 801, 970]",1
"53 is in the set [140, 157, 308, 399, 583]",0
"849 is in the set [69, 276, 595, 798, 849]",1
"200 is in the set [94, 439, 564, 737, 859]",0
"858 is in the set [89, 439, 748, 858, 931]",1
"694 is in the set [84, 134, 310, 392, 424]",0
"284 is in the set [44, 140, 284, 414, 496]",1
"253 is in the set [120, 210, 399, 845, 936]",0
"645 is in the set [215, 449, 584, 645, 775]",1
"534 is in the set [156, 189, 563, 704, 930]",0
"712 is in the set [374, 472, 528, 712, 758]",1
"554 is in the set [171, 406, 422, 471, 742]",0
"896 is in the set [343, 674, 720, 870, 896]",1
"954 is in the set [271, 294, 586, 661, 891]",0
"425 is in the set [27, 425, 557, 575, 850]",1
"687 is in the set [18, 45, 727, 876, 978]",0
"897 is in the set [305, 437, 462, 622, 897]",1
"577 is in the set [95, 333, 409, 483, 879]",0
"755 is in the set [3, 73, 722, 755, 970]",1
"516 is in the set [131, 169, 219, 508, 901]",0
"907 is in the set [177, 204, 677, 815, 907]",1
"857 is in the set [70, 354, 390, 794, 867]",0
"430 is in the set [180, 420, 430, 455, 916]",1
"517 is in the set [56, 172, 592, 748, 835]",0
"423 is in the set [291, 423, 443, 643, 859]",1
"978 is in the set [48, 77, 103, 292, 304]",0
"92 is in the set [92, 619, 725, 932, 997]",1
"401 is in the set [176, 224, 611, 783, 967]",0
"496 is in the set [248, 441, 496, 596, 841]",1
"808 is in the set [246, 250, 390, 423, 791]",0
"457 is in the set [3, 211, 275, 457, 927]",1
"102 is in the set [223, 267, 377, 801, 909]",0
"889 is in the set [435, 755, 868, 879, 889]",1
"66 is in the set [50, 219, 712, 770, 989]",0
"637 is in the set [251, 637, 706, 806, 893]",1
"816 is in the set [491, 592, 705, 817, 970]",0
"190 is in the set [190, 629, 875, 883, 893]",1
"974 is in the set [260, 332, 697, 910, 924]",0
"532 is in the set [359, 531, 532, 742, 844]",1
"228 is in the set [53, 290, 381, 698, 976]",0
"736 is in the set [53, 107, 529, 681, 736]",1
"150 is in the set [104, 543, 613, 665, 941]",0
"574 is in the set [383, 440, 574, 669, 759]",1
"78 is in the set [495, 655, 688, 715, 835]",0
"710 is in the set [224, 230, 295, 357, 710]",1
"822 is in the set [29, 269, 501, 558, 970]",0
"761 is in the set [175, 254, 761, 956, 993]",1
"738 is in the set [24, 36, 85, 185, 554]",0
"170 is in the set [108, 170, 268, 499, 633]",1
"504 is in the set [235, 484, 542, 796, 867]",0
"498 is in the set [16, 229, 498, 537, 760]",1
"847 is in the set [146, 613, 729, 797, 842]",0
"783 is in the set [162, 167, 334, 425, 783]",1
"471 is in the set [20, 65, 324, 629, 694]",0
"703 is in the set [63, 70, 124, 483, 703]",1
"487 is in the set [39, 440, 480, 649, 700]",0
"852 is in the set [62, 712, 852, 900, 925]",1
"556 is in the set [256, 328, 380, 740, 879]",0
"148 is in the set [148, 385, 539, 626, 828]",1
"279 is in the set [61, 380, 431, 536, 596]",0
"143 is in the set [141, 143, 424, 731, 818]",1
"401 is in the set [43, 71, 546, 753, 971]",0
"55 is in the set [3, 43, 55, 330, 877]",1
"570 is in the set [52, 275, 285, 419, 482]",0
"837 is in the set [190, 468, 585, 686, 837]",1
"963 is in the set [342, 455, 578, 679, 692]",0
"938 is in the set [75, 140, 695, 748, 938]",1
"829 is in the set [230, 343, 473, 617, 664]",0
"203 is in the set [58, 65, 203, 295, 521]",1
"834 is in the set [62, 147, 605, 755, 825]",0
"322 is in the set [101, 322, 828, 976, 987]",1
"301 is in the set [67, 122, 384, 639, 792]",0
"610 is in the set [109, 610, 652, 842, 897]",1
"294 is in the set [158, 343, 445, 735, 922]",0
"649 is in the set [106, 122, 503, 649, 940]",1
"698 is in the set [162, 450, 673, 781, 888]",0
"378 is in the set [259, 300, 356, 368, 378]",1
"969 is in the set [25, 319, 382, 485, 708]",0
"526 is in the set [279, 366, 526, 550, 896]",1
"228 is in the set [87, 141, 184, 321, 994]",0
"205 is in the set [132, 205, 946, 954, 998]",1
"764 is in the set [251, 399, 512, 524, 987]",0
"734 is in the set [353, 608, 634, 720, 734]",1
"768 is in the set [247, 344, 443, 582, 680]",0
"670 is in the set [69, 131, 594, 670, 737]",1
"792 is in the set [131, 173, 375, 724, 785]",0
"480 is in the set [116, 335, 480, 560, 998]",1
"843 is in the set [51, 144, 855, 922, 986]",0
"661 is in the set [8, 347, 583, 661, 939]",1
"719 is in the set [116, 164, 559, 594, 859]",0
"556 is in the set [80, 265, 290, 391, 556]",1
"113 is in the set [185, 186, 346, 667, 698]",0
"247 is in the set [247, 551, 552, 590, 897]",1
"989 is in the set [55, 409, 494, 853, 922]",0
"241 is in the set [126, 241, 348, 367, 437]",1
"983 is in the set [256, 326, 454, 684, 741]",0
"399 is in the set [399, 590, 675, 848, 982]",1
"642 is in the set [23, 521, 864, 883, 906]",0
"106 is in the set [20, 106, 326, 542, 946]",1
"818 is in the set [328, 512, 672, 805, 915]",0
"242 is in the set [242, 363, 544, 936, 976]",1
"345 is in the set [13, 93, 169, 578, 996]",0
"863 is in the set [253, 322, 647, 736, 863]",1
"667 is in the set [120, 720, 873, 876, 930]",0
"832 is in the set [45, 333, 486, 752, 832]",1
"150 is in the set [53, 87, 167, 264, 719]",0
"687 is in the set [236, 614, 675, 687, 824]",1
"766 is in the set [43, 55, 648, 884, 927]",0
"854 is in the set [417, 762, 854, 953, 960]",1
"281 is in the set [353, 477, 553, 651, 955]",0
"909 is in the set [78, 413, 812, 909, 921]",1
"853 is in the set [68, 579, 592, 611, 958]",0
"339 is in the set [0, 325, 339, 444, 938]",1
"427 is in the set [625, 717, 732, 876, 948]",0
"958 is in the set [525, 534, 545, 705, 958]",1
"39 is in the set [41, 257, 280, 852, 895]",0
"495 is in the set [21, 303, 358, 495, 865]",1
"67 is in the set [177, 196, 281, 345, 691]",0
"589 is in the set [137, 589, 792, 942, 958]",1
"221 is in the set [293, 362, 534, 590, 923]",0
"853 is in the set [4, 43, 106, 728, 853]",1
"921 is in the set [54, 131, 351, 720, 937]",0
"244 is in the set [176, 244, 675, 913, 967]",1
"863 is in the set [161, 356, 506, 593, 897]",0
"873 is in the set [41, 159, 586, 685, 873]",1
"650 is in the set [387, 469, 488, 580, 669]",0
"911 is in the set [42, 234, 536, 911, 930]",1
"752 is in the set [53, 864, 882, 885, 886]",0
"36 is in the set [36, 213, 329, 701, 792]",1
"819 is in the set [400, 403, 554, 595, 807]",0
"869 is in the set [13, 503, 869, 890, 899]",1
"750 is in the set [137, 161, 841, 850, 863]",0
"322 is in the set [136, 259, 322, 424, 697]",1
"116 is in the set [222, 434, 602, 650, 812]",0
"476 is in the set [1, 282, 293, 476, 664]",1
"883 is in the set [65, 90, 494, 585, 818]",0
"497 is in the set [497, 562, 689, 743, 758]",1
"217 is in the set [179, 266, 487, 645, 961]",0
"877 is in the set [196, 238, 432, 602, 877]",1
"501 is in the set [15, 44, 78, 364, 598]",0
"428 is in the set [428, 579, 593, 799, 888]",1
"538 is in the set [67, 432, 779, 889, 972]",0
"531 is in the set [106, 294, 504, 531, 829]",1
"374 is in the set [45, 155, 733, 754, 856]",0
"534 is in the set [46, 289, 326, 534, 814]",1
"229 is in the set [306, 348, 384, 542, 875]",0
"452 is in the set [223, 295, 452, 598, 727]",1
"68 is in the set [124, 141, 285, 668, 976]",0
"500 is in the set [189, 290, 500, 832, 835]",1
"200 is in the set [84, 192, 247, 476, 904]",0
"257 is in the set [257, 393, 407, 594, 805]",1
